group,key,english,isizulu
DESIGN_STUDIO,designPhotoSetScale,Set the scale,
DESIGN_STUDIO,designPhotoScaleHelp,"Tap two points in the photo that you know the real distance between — like two corners of a building, or two fence posts you can measure.",
DESIGN_STUDIO,designPhotoFirstPoint,Tap the first point.,
DESIGN_STUDIO,designPhotoSecondPoint,Now tap the second point.,
DESIGN_STUDIO,designPhotoEnterDistance,Now enter the real distance between them.,
DESIGN_STUDIO,designPhotoDistanceExample,e.g. 10,
DESIGN_STUDIO,designPhotoMetresApart,metres apart,
DESIGN_STUDIO,designPhotoRetap,Retap,
DESIGN_STUDIO,designPhotoChooseDifferent,Choose a different photo,
DESIGN_STUDIO,designPhotoSaving,Saving...,
DESIGN_STUDIO,designPhotoUse,Use this photo,
DESIGN_STUDIO,designPhotoZoomSize,Size,
DESIGN_STUDIO,designPhotoOpacityLabel,See through,
DESIGN_STUDIO,designPhotoPointInstruction,Tap point {point} of 2 on the photo. The photo will not move while you do.,
DESIGN_STUDIO,designPhotoMoveInstruction,Drag the photo to move it. Fade it down to match it against the satellite underneath.,
DESIGN_STUDIO,designStorageFull,"Storage full — your design is NOT being saved. Free up space, then re-open.",
DESIGN_STUDIO,designPhotoRemoveConfirm,"Remove your photo and go back to the satellite view?

Your design is not affected.",
DESIGN_STUDIO,designPhotoRemoveTitle,Remove your photo and go back to the satellite. Your design is not affected.,
DESIGN_STUDIO,designPhotoRemove,Remove photo,
DESIGN_STUDIO,designPhotoAdjust,Adjust photo,
DESIGN_STUDIO,designPhotoUseDifferent,Use a different photo,
DESIGN_STUDIO,designPhotoUseAerial,Use your own aerial photo,
DESIGN_STUDIO,designPhotoDragToMove,drag to move,
DESIGN_STUDIO,designPhotoTapping,Tapping…,
DESIGN_STUDIO,designPhotoAddScalePoint,Add scale point ({current}/{total}),
DESIGN_STUDIO,designPhotoUndoPoint,Undo point,
DESIGN_STUDIO,designPhotoScaleKept,Keeping your existing scale — re-measure only if it looks wrong.,
DESIGN_STUDIO,speciesPickerTitle,Plant Catalog,
DESIGN_STUDIO,speciesPickerFilteredFor,Filtered for {biome} biome,
DESIGN_STUDIO,speciesPickerBroadReach,Showing broad-reach species,
DESIGN_STUDIO,speciesPickerBroadReachSection,Broad-reach species (site climate unknown),
DESIGN_STUDIO,speciesPickerNoteLabel,Note:,
DESIGN_STUDIO,speciesPickerNoteBody,Not yet agronomist-reviewed. Use as a starting point.,
DESIGN_STUDIO,speciesPickerFrostNote,Frost-tender trees and shrubs are hidden where the modeled minimum reaches freezing; check the planting spot for frost.,
DESIGN_STUDIO,designAdvisorLayerWater,Water,
DESIGN_STUDIO,designAdvisorLayerZones,Zones,
DESIGN_STUDIO,designAdvisorLayerPlanting,Planting,
DESIGN_STUDIO,designAdvisorLayerStructures,Structures,
DESIGN_STUDIO,designAdvisorDesign,design,
DESIGN_STUDIO,designAdvisorTip,tip,
DESIGN_STUDIO,designAdvisorTips,tips,
DESIGN_STUDIO,designAdvisorTapToRead,Lima: {count} {layer} {tips} — tap to read,
DESIGN_STUDIO,designAdvisorMore,{count} more,
DESIGN_STUDIO,designAdvisorOtherLayers,+{count} {tips} on other layers,
DESIGN_STUDIO,designAdvisorAskLima,Ask Lima,
DESIGN_STUDIO,designAdvisorCloseTip,Close tip,
DESIGN_STUDIO,designAdvisorNothingToAdd,Lima had nothing to add on this one — your design looks sound.,
DESIGN_STUDIO,designAdvisorUnavailable,Could not reach Lima.,
DESIGN_STUDIO,designAdvisorRequestFailed,Request failed ({status}),
DESIGN_STUDIO,designCanvasUseInDesign,Use in design,
DESIGN_STUDIO,designCanvasLevelPlaceholder,"Level here (m), e.g. 0.0 or -3.0",
DESIGN_STUDIO,designCanvasSlopePlaceholder,Slope here (%) — avg {average}%,
DESIGN_STUDIO,designCanvasSwaleWidthLabel,Swale width (m),
DESIGN_STUDIO,designCanvasSwaleWidthPlaceholder,Enter width,
DESIGN_STUDIO,designCanvasFlatContours,Ground reads flat here — no useful contours to show,
DESIGN_STUDIO,designCanvasContourInterval,Approx. contours ~{interval} m apart — lay swales/vetiver along these lines,
DESIGN_STUDIO,designCanvasHideBase,Hide site references,
DESIGN_STUDIO,designCanvasShowBase,Show site references,
DESIGN_STUDIO,designCanvasBaseShown,Site references: shown — tap to hide,
DESIGN_STUDIO,designCanvasBaseHidden,Site references: hidden — tap to show,
DESIGN_STUDIO,designCanvasSectorOn,Sector energies on — tap to hide,
DESIGN_STUDIO,designCanvasShowSector,"Show sector energies (sun, wind, fire, water)",
DESIGN_STUDIO,designCanvasSectorShown,Sector energies: shown — tap to hide,
DESIGN_STUDIO,designCanvasSectorHidden,"Sector energies: sun path, wind, fire & water — tap to show",
DESIGN_STUDIO,designCanvasShowPhoto,Show your own photo instead of the satellite,
DESIGN_STUDIO,designCanvasShowSatellite,Show the satellite instead of your photo,
DESIGN_STUDIO,designCanvasPhotoShown,Your photo: shown — tap for the satellite,
DESIGN_STUDIO,designCanvasPhotoHidden,Satellite: shown — tap for your own photo,
DESIGN_STUDIO,designCanvasMultiOn,Multi-select on — tap to turn off,
DESIGN_STUDIO,designCanvasSelectMultiple,Select multiple,
DESIGN_STUDIO,designCanvasSelectingMultiple,"Selecting multiple — tap items to add, then Delete",
DESIGN_STUDIO,designCanvasCancel,✕ Cancel,
DESIGN_STUDIO,designCanvasPoint,↩ Point,
DESIGN_STUDIO,designCanvasFinish,✓ Finish {thing},
DESIGN_STUDIO,designCanvasLine,line,
DESIGN_STUDIO,designCanvasZone,Zone {zone},
DESIGN_STUDIO,designCanvasClose,Close,
DESIGN_STUDIO,designCanvasTidy,✓ Tidy outline,
DESIGN_STUDIO,designCanvasSnap,✓ Snap to neighbour,
DESIGN_STUDIO,designCanvasCleanup,✓ Clean up,
DESIGN_STUDIO,designCanvasMeasure,Measure a distance,
DESIGN_STUDIO,designCanvasMeasureOn,Measuring — tap along a path,
DESIGN_STUDIO,designCanvasMeasureHint,"Tap two points for a distance, or keep tapping to measure along a path.",
DESIGN_STUDIO,designCanvasMeasureAgain,Keep tapping to add legs to the path.,
DESIGN_STUDIO,designCanvasMeasureClear,Start over,
DESIGN_STUDIO,designCanvasMeasureActually,Actually,
DESIGN_STUDIO,designZuluDraftNotice,Unreviewed isiZulu draft. English stays beside translated photo and canvas guidance. Guidance not yet translated remains in English.,
DESIGN_STUDIO,designPaletteSelect,↖️ Select,
DESIGN_STUDIO,designPaletteUndo,↩️ Undo,
DESIGN_STUDIO,designPaletteRedo,↪️ Redo,
DESIGN_STUDIO,designPaletteDuplicate,📋 Duplicate,
DESIGN_STUDIO,designPaletteDuplicateTitle,Duplicate the selected item(s) — Cmd/Ctrl+D,
DESIGN_STUDIO,designPaletteTidy,🧹 Tidy,
DESIGN_STUDIO,designPaletteTidyTitle,Preview a tidied version of the selected outline,
DESIGN_STUDIO,designPaletteSnap,🧲 Snap,
DESIGN_STUDIO,designPaletteSnapTitle,Preview closing hairline seams with a neighbouring zone,
DESIGN_STUDIO,designPaletteCleanup,📐 Clean up,
DESIGN_STUDIO,designPaletteCleanupTitle,Preview straightening and evenly spacing the selected items,
DESIGN_STUDIO,designPaletteAngle,Angle,
DESIGN_STUDIO,designPaletteSize,Size,
DESIGN_STUDIO,designPaletteSizeLength,Length,
DESIGN_STUDIO,designPaletteGateLengthTitle,Gate length in metres,
DESIGN_STUDIO,designPaletteSizeDown,Shrink every selected item by 10% — positions stay put,
DESIGN_STUDIO,designPaletteSizeUp,Grow every selected item by 10% — positions stay put,
DESIGN_STUDIO,designPaletteSizeWidth,W,
DESIGN_STUDIO,designPaletteSizeWidthTitle,Set the width in metres for every selected item,
DESIGN_STUDIO,designPaletteSizeHeight,H,
DESIGN_STUDIO,designPaletteSizeHeightTitle,Set the height in metres for every selected item,
DESIGN_STUDIO,designPaletteDelete,🗑️ Delete,
DESIGN_STUDIO,designPaletteLayers,Layers,
DESIGN_STUDIO,designPaletteOff,off,
DESIGN_STUDIO,designPaletteAllOn,All on,
DESIGN_STUDIO,designPaletteAllOff,All off,
DESIGN_STUDIO,designPaletteNoLayers,No layers on — turn on an element layer (Layers ▸) to place its elements.,
DESIGN_STUDIO,designPaletteProLayers,PRO — showing elements for your switched-on layers. Toggle more in Layers ▸.,
DESIGN_STUDIO,designPaletteClimate,🌡️ Showing climate-suited planting options,
DESIGN_STUDIO,designPaletteClimateFor, for {biome},
DESIGN_STUDIO,designPaletteClimateHidden,. Deprecated/invasive or wrong-climate trees are hidden.,
DESIGN_STUDIO,designPaletteClimateTitle,Better in a different climate — {name} may struggle here,
DESIGN_STUDIO,designPaletteFrostRisk,ⓘ Frost risk,
DESIGN_STUDIO,designPaletteFrostHidden,Modeled minimum reaches freezing. Frost-sensitive options are hidden; check the planting spot for frost.,
DESIGN_STUDIO,designPaletteFrostCheck,⚠ Check frost,
DESIGN_STUDIO,designPaletteFrostCheckTitle,May need a sheltered spot or suitable cultivar. Check local frost before planting.,
DESIGN_STUDIO,designPaletteFrostUnavailable,Frost data unavailable — tree choices use the broad climate zone only.,
DESIGN_STUDIO,designPaletteExistingHelp,"Draw what’s already here — tap a feature, then trace its corners.",
DESIGN_STUDIO,designPaletteWindConfirmed,Wind confirmed:,
DESIGN_STUDIO,designPaletteRecorded,(recorded {date}),
DESIGN_STUDIO,designPaletteChange,Change,
DESIGN_STUDIO,designPaletteClear,Clear,
DESIGN_STUDIO,designPaletteRegionalWind,We think your prevailing wind comes from the {direction}. Is that right on your land?,
DESIGN_STUDIO,designPaletteNoRegionalWind,No regional wind pattern for this area yet — do you know which way your wind usually blows?,
DESIGN_STUDIO,designPaletteConfirm,Confirm,
DESIGN_STUDIO,designPaletteSetDirection,Set direction,
DESIGN_STUDIO,designPaletteNotSure,Not sure,
DESIGN_STUDIO,designPaletteTapPlace,Tap the map to place {name},
DESIGN_STUDIO,designPaletteDrawFeature,"Draw your {feature} — tap corners, then ✓ Finish",
DESIGN_STUDIO,designPalettePaintZone,Tap the map to paint Zone {zone},
DESIGN_STUDIO,designPaletteTapCorners,"Tap corners, then ✓ Finish",
DESIGN_STUDIO,designPaletteLearnAbout,Learn about this,
DESIGN_STUDIO,designPaletteCollapse,Collapse element palette,
DESIGN_STUDIO,designPaletteExpand,Expand element palette,
DESIGN_STUDIO,designPaletteLineSwale,Swale,
DESIGN_STUDIO,designPaletteSwaleLength,{length} m long,
DESIGN_STUDIO,designPaletteSwaleLengthTitle,Measured along the line you drew,
DESIGN_STUDIO,designPaletteWidth,Width,
DESIGN_STUDIO,designPaletteSwaleWidthPlaceholder,not stated,
DESIGN_STUDIO,designPaletteSwaleWidthTitle,Stated disturbed-ground width; leave blank when it has not been set,
DESIGN_STUDIO,designPaletteSwaleWidthLabel,Stated swale width in metres,
DESIGN_STUDIO,designPaletteShow,Show,
DESIGN_STUDIO,designPaletteSelectColumn,Select,
DESIGN_STUDIO,designPaletteMoveColumn,Move,
DESIGN_STUDIO,designPaletteLayerColumn,Layer,
DESIGN_STUDIO,designPaletteFloat,Float,
DESIGN_STUDIO,designPaletteFloatTitle,Float the element palette — drag it anywhere and scroll down through the chips,
DESIGN_STUDIO,designPaletteFloatLabel,Float the element palette,
DESIGN_STUDIO,designPaletteElements,Elements,
DESIGN_STUDIO,designPaletteElementsDragTitle,Drag Elements panel,
DESIGN_STUDIO,designPaletteLineFence,Fence,
DESIGN_STUDIO,designPaletteLinePath,Path,
DESIGN_STUDIO,designPaletteLinePipe,Pipe,
DESIGN_STUDIO,designPaletteLineDrip,Drip,
DESIGN_STUDIO,designPaletteLineGreywater,Greywater,
DESIGN_STUDIO,designPaletteLineWindbreak,Windbreak,
DESIGN_STUDIO,designPaletteLayerBase,Site references,
DESIGN_STUDIO,designPaletteLayerBoundary,Boundary,
DESIGN_STUDIO,designPaletteSymbolSize,Size,
DESIGN_STUDIO,designPaletteAreaFill,Fill,
DESIGN_STUDIO,designPaletteAreaFillHatch,Hatch,
DESIGN_STUDIO,designPaletteAreaFillTint,Tint,
DESIGN_STUDIO,designPaletteAreaFillStrength,Fill strength,
DESIGN_STUDIO,designPalettePlantFill,Plants,
DESIGN_STUDIO,designPaletteBedBlock,Bed block,
DESIGN_STUDIO,designPaletteBedLength,Length m,
DESIGN_STUDIO,designPaletteBedWidth,Width m,
DESIGN_STUDIO,designPaletteBedPath,Path m,
DESIGN_STUDIO,designPaletteBedCount,Beds,
DESIGN_STUDIO,designPaletteBedBlockPlace,Place block,
DESIGN_STUDIO,designPaletteBedBlockCancel,Cancel,
DESIGN_STUDIO,designPaletteClimateUnavailable,Climate data unavailable — all tree options shown.,
DESIGN_STUDIO,designPaletteLayerExisting,Existing,
DESIGN_STUDIO,designPaletteLayerWater,Water,
DESIGN_STUDIO,designPaletteLayerEarthworks,Earthworks,
DESIGN_STUDIO,designPaletteLayerZones,Zones,
DESIGN_STUDIO,designPaletteLayerPlanting,Planting,
DESIGN_STUDIO,designPaletteLayerStructures,Structures,
DESIGN_STUDIO,designPaletteLayerAccess,Access,
DESIGN_STUDIO,designPaletteLayerAnimals,Animals,
DESIGN_STUDIO,designPaletteLayerLabels,Labels,
DESIGN_STUDIO,designPaletteLayerIcons,Icons,
DESIGN_STUDIO,designPaletteLayerContours,Contours,
DESIGN_STUDIO,designPaletteLayerSector,Sector energies,
DESIGN_STUDIO,designPaletteShowAllElements,Show all,
DESIGN_STUDIO,designPrintTitle,Print / Export,
DESIGN_STUDIO,designPrintSubtitle,9-map plan set · exact · print-ready,
DESIGN_STUDIO,designPrintSheets,Sheets (one page each),
DESIGN_STUDIO,designPrintNothingDrawn,Nothing drawn on this layer yet,
DESIGN_STUDIO,designPrintPaper,Paper,
DESIGN_STUDIO,designPrintOrientation,Orientation,
DESIGN_STUDIO,designPrintLandscape,Landscape,
DESIGN_STUDIO,designPrintPortrait,Portrait,
DESIGN_STUDIO,designPrintInclude,Include on every page,
DESIGN_STUDIO,designPrintTitleBlock,Title block,
DESIGN_STUDIO,designPrintLegend,Legend,
DESIGN_STUDIO,designPrintScaleBar,Scale bar,
DESIGN_STUDIO,designPrintNorthArrow,North arrow,
DESIGN_STUDIO,designPrintBuildingPdf,Building PDF…,
DESIGN_STUDIO,designPrintExportPdf,Export PDF ({count} {pages}),
DESIGN_STUDIO,designPrintPage,page,
DESIGN_STUDIO,designPrintPages,pages,
DESIGN_STUDIO,designPrintSavingPngs,Saving PNGs…,
DESIGN_STUDIO,designPrintExportPngs,Export PNGs,
DESIGN_STUDIO,designPrintPreparing,Preparing…,
DESIGN_STUDIO,designPrintShare,"Share (WhatsApp, etc.)",
DESIGN_STUDIO,designPrintPreview,Preview,
DESIGN_STUDIO,designPrintFirstPage,first page,
DESIGN_STUDIO,designPrintOfPages,of {count},
DESIGN_STUDIO,designPrintRendering,Rendering…,
DESIGN_STUDIO,designPrintPreviewAlt,Print preview,
DESIGN_STUDIO,designPrintSelectSheet,Select at least one sheet.,
DESIGN_STUDIO,designPrintShareError,Could not share the plan set: {error},
DESIGN_STUDIO,designPrintPngError,Could not save the PNGs: {error},
DESIGN_STUDIO,designPrintPdfError,Could not build the PDF: {error},
DESIGN_STUDIO,designPrintSaveSimple,Save my plan,
DESIGN_STUDIO,designPrintPreviewError,Could not render the preview ({error}).,
DESIGN_STUDIO,designPrintRetry,Try again,
DESIGN_STUDIO,designPrintSheetBase,Existing Site & Base,
DESIGN_STUDIO,designPrintSheetSector,Sector Analysis,
DESIGN_STUDIO,designPrintSheetZones,Permaculture Zones,
DESIGN_STUDIO,designPrintSheetWater,Water & Irrigation,
DESIGN_STUDIO,designPrintSheetEarthworks,Earthworks & Contour Setting-Out,
DESIGN_STUDIO,designPrintSheetPlanting,Planting & Agroforestry,
DESIGN_STUDIO,designPrintSheetStructures,Livestock & Infrastructure,
DESIGN_STUDIO,designPrintSheetAll,Integrated Masterplan,
DESIGN_STUDIO,designPrintSheetImplementation,Implementation & Phasing,
DESIGN_STUDIO,designLessonHeading,LESSON,
DESIGN_STUDIO,designLessonClose,Close lesson,
DESIGN_STUDIO,designLessonPrinciple,The principle,
DESIGN_STUDIO,designLessonTryThis,Try this,
DESIGN_STUDIO,designLessonCourse,Learn more in the course,
DESIGN_STUDIO,designLessonDraft,Draft lesson — a fuller version is coming.,
DESIGN_STUDIO,designSectorNorth,N,
DESIGN_STUDIO,designSectorSouth,S,
DESIGN_STUDIO,designSectorEast,E,
DESIGN_STUDIO,designSectorWest,W,
DESIGN_STUDIO,designSectorFire,FIRE,
DESIGN_STUDIO,designSectorSun,SUN,
DESIGN_STUDIO,designSectorWinterShadow,Midwinter noon shadow ×{ratio},
DESIGN_STUDIO,designSectorSummer,SUMMER,
DESIGN_STUDIO,designSectorWinter,WINTER,
DESIGN_STUDIO,designSectorDownhill,DOWNHILL,
DESIGN_STUDIO,designSectorDownhillApprox,DOWNHILL ~,
DESIGN_STUDIO,designSectorFrost,FROST,
DESIGN_STUDIO,designSectorSeasonWind,{season} wind · {direction},
DESIGN_STUDIO,designSectorDirectionNorth,north,
DESIGN_STUDIO,designSectorDirectionNorthEast,north-east,
DESIGN_STUDIO,designSectorDirectionEast,east,
DESIGN_STUDIO,designSectorDirectionSouthEast,south-east,
DESIGN_STUDIO,designSectorDirectionSouth,south,
DESIGN_STUDIO,designSectorDirectionSouthWest,south-west,
DESIGN_STUDIO,designSectorDirectionWest,west,
DESIGN_STUDIO,designSectorDirectionNorthWest,north-west,
DESIGN_STUDIO,designSectorSunRow,☀️ Sun: strongest from the {direction} — put your beds on that side.,
DESIGN_STUDIO,designSectorSunMixed,"north in winter, south in summer",
DESIGN_STUDIO,designSectorWindSummer,{direction} in summer,
DESIGN_STUDIO,designSectorWindWinter,{direction} in winter,
DESIGN_STUDIO,designSectorWindRow,💨 Coordinate climate-grid mean: wind FROM the {directions}. Confirm on site.,
DESIGN_STUDIO,designSectorFireRow,🔥 Regional fire context: {season} Possible approach from the {direction} — confirm locally.,
DESIGN_STUDIO,designSectorWaterRow,💧 Water flows downhill to the {direction} — swales go ACROSS that flow{frost}.,
DESIGN_STUDIO,designSectorFrostNote," · frost settles low there on still, cold nights",
DESIGN_STUDIO,designSectorTitle,The land’s energies,
DESIGN_STUDIO,designSectorSource,site + regional,
DESIGN_STUDIO,designSectorOpenMap,Open this place on the map first to read its energies.,
DESIGN_STUDIO,designSectorLooksRight,Looks right,
DESIGN_STUDIO,designTankTitle,Tank calculator,
DESIGN_STUDIO,designTankNeedRain,Open this place on the map to fetch its rainfall first — then this sizes your tanks from the site’s real rain.,
DESIGN_STUDIO,designTankRoofArea,Roof area (m²),
DESIGN_STUDIO,designTankDailyUse,Daily use (ℓ),
DESIGN_STUDIO,designTankMethod,"From this site’s 30-yr rainfall, 0.80 roof runoff. A typical year — size up for drought.",
DESIGN_STUDIO,designTankEnterValues,Enter a roof area and daily use to size your tanks.,
DESIGN_STUDIO,designTankZuluDraftNotice,Unreviewed isiZulu draft. Read the English source beside each label and prompt; the sizing method remains in English.,
DESIGN_STUDIO,designGlossyPlanSet,Your plan set · 9 sheets (01–09),
DESIGN_STUDIO,designGlossySheetNumber,sheet {number},
DESIGN_STUDIO,designGlossySheet,sheet,
DESIGN_STUDIO,designGlossySheets,sheets,
DESIGN_STUDIO,designGlossyGenerateFive,✨ Generate 5 design sheets — AI (gpt-image-2),
DESIGN_STUDIO,designGlossyRenderingBackground,Rendering with gpt-image-2 in the background…,
DESIGN_STUDIO,designGlossyBatchNote,Whole · Zones · Water · Planting · Structures. Site & Phasing stay exact; Sector and Earthworks each have an AI option on their own sheet — lands in your gallery in a few minutes.,
DESIGN_STUDIO,designGlossyDrawing,Drawing…,
DESIGN_STUDIO,designGlossyAllExact,Create all design sheets →,
DESIGN_STUDIO,designGlossyStyle,Style,
DESIGN_STUDIO,designGlossyMoreStyles,More style packs →,
DESIGN_STUDIO,designGlossyRecommended,Recommended,
DESIGN_STUDIO,designGlossyChooseFinish,Choose your finish below.,
DESIGN_STUDIO,designGlossyHowFinishesWork,About your map,
DESIGN_STUDIO,designGlossyFinishHelp,"Exact Canvas is free and instant, and draws every label, legend and line at full sheet resolution. AI Polished saves that exact master first, then spends one paid AI render painting the map artwork — your boundary, labels, legend, title block, north arrow and scale bar are drawn back on top by the app afterwards, never by the model. Neither choice ever changes your canvas design.",
DESIGN_STUDIO,designGlossyFinishHelpFullTreatment,"Full Treatment is shelved and shown here for review only: it runs AI Polished, then spends a second paid render over the finished artwork.",
DESIGN_STUDIO,designGlossyExactAlt,Exact plan sheet of the design,
DESIGN_STUDIO,designGlossyAiAlt,AI artist’s impression of the design,
DESIGN_STUDIO,designGlossyBeta,Beta — may need a re-try,
DESIGN_STUDIO,designGlossyDownload,Download,
DESIGN_STUDIO,designGlossySavedMaps,Saved maps ({count}),
DESIGN_STUDIO,designGlossyPreviewTitle,Preview & Export,
DESIGN_STUDIO,designGlossyPreviewHelp,"Review the map, choose its finish, then export the sheets you need.",
DESIGN_STUDIO,designGlossyCurrentSettings,Current preview settings,
DESIGN_STUDIO,designGlossyPlanSetShort,Plan set,
DESIGN_STUDIO,designGlossyPlanSetValue,Design plan set,
DESIGN_STUDIO,designGlossyChooseSheet,Choose a sheet,
DESIGN_STUDIO,designGlossyOpenSaved,Open saved maps,
DESIGN_STUDIO,designGlossyExportShare,Export & Share,
DESIGN_STUDIO,designGlossyMapPreview,Map preview,
DESIGN_STUDIO,designGlossySeasonalSun,Seasonal sun,
DESIGN_STUDIO,designGlossyPreviewScope,Preview scope,
DESIGN_STUDIO,designGlossyThisSheet,This sheet,
DESIGN_STUDIO,designGlossyAllSheets,All sheets,
DESIGN_STUDIO,designGlossyManage,Manage,
DESIGN_STUDIO,designGlossySavedMapsSite,Site,
DESIGN_STUDIO,designGlossyChooseSavedMapsSite,Choose which site’s saved maps to show,
DESIGN_STUDIO,designGlossyCurrentSite,Current site,
DESIGN_STUDIO,designGlossyUnnamedSite,Unnamed site,
DESIGN_STUDIO,designGlossyNoSavedRail,Nothing saved for this site yet. Render a sheet and it will stay here for download and reuse.,
DESIGN_STUDIO,designGlossyExportSummary,Export summary,
DESIGN_STUDIO,designGlossyEdit,Edit,
DESIGN_STUDIO,designGlossyFormat,Format,
DESIGN_STUDIO,designGlossyInclude,Include,
DESIGN_STUDIO,designGlossyExportIncludes,Legend · Scale bar · North arrow · Labels,
DESIGN_STUDIO,designGlossyMoreOptions,More options,
DESIGN_STUDIO,designGlossyEngine,AI engine,
DESIGN_STUDIO,designGlossyQuality,Render quality,
DESIGN_STUDIO,designGlossyQualityHigh,High,
DESIGN_STUDIO,designGlossyQualityHighSub,sharpest · most expensive,
DESIGN_STUDIO,designGlossyQualityMedium,Medium,
DESIGN_STUDIO,designGlossyQualityMediumSub,about a quarter of the cost,
DESIGN_STUDIO,designGlossyQualityLow,Low,
DESIGN_STUDIO,designGlossyQualityLowSub,cheapest · for testing,
DESIGN_STUDIO,designGlossyQualityNote,"AI artwork can change or invent features. Source protections, labels and legend are applied afterwards, but compare positions and counts with your Exact Canvas map before using the illustration. Higher AI quality does not verify accuracy.",
DESIGN_STUDIO,designGlossyFinishHeading,Map style,
DESIGN_STUDIO,designGlossyExactCanvas,Design Map,
DESIGN_STUDIO,designGlossyExactCanvasHint,Your saved layout · ready to print,
DESIGN_STUDIO,designGlossyAiHybrid,AI Polished,
DESIGN_STUDIO,designGlossyAiHybridHint,AI-painted artwork · your labels & legend on top · 1 paid render,
DESIGN_STUDIO,designGlossyFullTreatment,Full Treatment (shelved),
DESIGN_STUDIO,designGlossyFullTreatmentHint,A 2nd AI pass over the finished sheet · 2 paid renders,
DESIGN_STUDIO,designGlossyGotIt,Got it,
DESIGN_STUDIO,designGlossyCloseSaved,Close saved maps,
